Series,Part No.,Max Speed (MHz),Memory (Bytes),,I/O,Timer,,,,,,,Connectivity,,,,,,,,,,,,,,,,,,,EXMC,EXMC/SDRAM,Analog Interface,,Package,Core
,,,Flash,SRAM,,GPTM (32bit),GPTM (16bit),Adv TM (16bit),Bsc TM (16bit),SysTick (24bit),WDG,RTC,USART+UART,I2C,SPI,CAN 2.0B,USB 2.0,I2S,SDIO,Ether-net,TMU,SHR TM,COMP,OP-AMP,CEC,LCD-TFT,LCD,Camera,ETHMAC,Crypto/Hash,IPA,,,12bit ADC Units (CHs),12bit DAC Units,,
,GD32F103VKT6,108,3072K,96K,up to 80,,10,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(16),2,LQFP100,Cortex-M3
,GD32F103ZCT6,108,256K,48K,up to 112,,4,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M3
GD32F103,GD32F103ZDT6,108,384K,64K,up to 112,,4,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M3
,GD32F103ZET6,108,512K,64K,up to 112,,4,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M3
,GD32F103ZFT6,108,768K,96K,up to 112,,10,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M3
,GD32F103ZGT6,108,1024K,96K,up to 112,,10,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M3
,GD32F103ZIT6,108,2048K,96K,up to 112,,10,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M3
,GD32F103ZKT6,108,3072K,96K,up to 112,,10,2,2,1,2,1,5,2,3,1,1,2,1,,,,,,,,,,,,,1,,3(21),2,LQFP144,Cortex-M3
GD32F105,GD32F105R8T6,108,64K,64K,up to 51,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F105RBT6,108,128K,64K,up to 51,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F105RCT6,108,256K,96K,up to 51,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F105RDT6,108,384K,96K,up to 51,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F105RET6,108,512K,96K,up to 51,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F105RFT6,108,768K,96K,up to 51,,10,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F105RGT6,108,1024K,96K,up to 51,,10,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F105V8T6,108,64K,64K,up to 80,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F105VBT6,108,128K,64K,up to 80,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F105VCT6,108,256K,96K,up to 80,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F105VDT6,108,384K,96K,up to 80,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F105VET6,108,512K,96K,up to 80,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F105VFT6,108,768K,96K,up to 80,,10,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F105VGT6,108,1024K,96K,up to 80,,10,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F105ZCT6,108,256K,96K,up to 112,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F105ZDT6,108,384K,96K,up to 112,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F105ZET6,108,512K,96K,up to 112,,4,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F105ZFT6,108,768K,96K,up to 112,,10,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F105ZGT6,108,1024K,96K,up to 112,,10,1,2,1,2,1,5,2,3,2,OTG,2,,,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
GD32F107,GD32F107RBT6,108,128K,96K,up to 51,,4,1,2,1,2,1,5,1,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F107RCT6,108,256K,96K,up to 51,,4,1,2,1,2,1,5,1,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F107RDT6,108,384K,96K,up to 51,,4,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F107RET6,108,512K,96K,up to 51,,4,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
GD32F107,GD32F107RFT6,108,768K,96K,up to 51,,10,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F107RGT6,108,1024K,96K,up to 51,,10,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,,,2(16),2,LQFP64,Cortex-M3
,GD32F107VBT6,108,128K,96K,up to 80,,4,1,2,1,2,1,5,1,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F107VCT6,108,256K,96K,up to 80,,4,1,2,1,2,1,5,1,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F107VDT6,108,384K,96K,up to 80,,4,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F107VET6,108,512K,96K,up to 80,,4,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F107VFT6,108,768K,96K,up to 80,,10,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F107VGT6,108,1024K,96K,up to 80,,10,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(16),2,LQFP100,Cortex-M3
,GD32F107ZCT6,108,256K,96K,up to 112,,4,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F107ZDT6,108,384K,96K,up to 112,,4,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F107ZET6,108,512K,96K,up to 112,,4,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F107ZFT6,108,768K,96K,up to 112,,10,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
,GD32F107ZGT6,108,1024K,96K,up to 112,,10,1,2,1,2,1,5,2,3,2,OTG,2,,1,,,,,,,,,,,,1,,2(21),2,LQFP144,Cortex-M3
GD32F101,GD32F101T4U6,56,16K,4K,up to 26,,2,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN36,Cortex-M3
,GD32F101T6U6,56,32K,6K,up to 26,,2,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN36,Cortex-M3
,GD32F101T8U6,56,64K,10K,up to 26,,3,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN36,Cortex-M3
,GD32F101TBU6,56,128K,16K,up to 26,,3,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN36,Cortex-M3
,GD32F101C4T6,56,16K,4K,up to 37,,2,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M3
,GD32F101C6T6,56,32K,6K,up to 37,,2,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M3
,GD32F101C8T6,56,64K,10K,up to 37,,3,,,1,2,1,3,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M3
,GD32F101CBT6,56,128K,16K,up to 37,,3,,,1,2,1,3,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M3
,GD32F101R4T6,56,16K,4K,up to 51,,2,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
,GD32F101R6T6,56,32K,6K,up to 51,,2,,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
,GD32F101R8T6,56,64K,10K,up to 51,,3,,,1,2,1,3,2,2,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
,GD32F101RBT6,56,128K,16K,up to 51,,3,,,1,2,1,3,2,2,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
,GD32F101RCT6,56,256K,32K,up to 51,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
,GD32F101RDT6,56,384K,48K,up to 51,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
,GD32F101RET6,56,512K,48K,up to 51,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
,GD32F101RFT6,56,768K,80K,up to 51,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,,,2(16),,LQFP64,Cortex-M3
,GD32F101RGT6,56,1024K,80K,up to 51,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,,,2(16),,LQFP64,Cortex-M3
GD32F101,GD32F101RIT6,56,2048K,80K,up to 51,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,,,2(16),,LQFP64,Cortex-M3
,GD32F101RKT6,56,3072K,80K,up to 51,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,,,2(16),,LQFP64,Cortex-M3
,GD32F101V8T6,56,64K,10K,up to 80,,3,,,1,2,1,3,2,2,,,,,,,,,,,,,,,,,1,,1(16),,LQFP100,Cortex-M3
,GD32F101VBT6,56,128K,16K,up to 80,,3,,,1,2,1,3,2,2,,,,,,,,,,,,,,,,,1,,1(16),,LQFP100,Cortex-M3
,GD32F101VCT6,56,256K,32K,up to 80,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,1(16),,LQFP100,Cortex-M3
,GD32F101VDT6,56,384K,48K,up to 80,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,1(16),,LQFP100,Cortex-M3
,GD32F101VET6,56,512K,48K,up to 80,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,1(16),,LQFP100,Cortex-M3
,GD32F101VFT6,56,768K,80K,up to 80,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP100,Cortex-M3
,GD32F101VGT6,56,1024K,80K,up to 80,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP100,Cortex-M3
,GD32F101VIT6,56,2048K,80K,up to 80,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP100,Cortex-M3
,GD32F101VKT6,56,3072K,80K,up to 80,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP100,Cortex-M3
,GD32F101ZCT6,56,256K,32K,up to 112,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,1(16),,LQFP144,Cortex-M3
,GD32F101ZDT6,56,384K,48K,up to 112,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,1(16),,LQFP144,Cortex-M3
,GD32F101ZET6,56,512K,48K,up to 112,,4,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,1(16),,LQFP144,Cortex-M3
,GD32F101ZFT6,56,768K,80K,up to 112,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP144,Cortex-M3
,GD32F101ZGT6,56,1024K,80K,up to 112,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP144,Cortex-M3
,GD32F101ZIT6,56,2048K,80K,up to 112,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP144,Cortex-M3
,GD32F101ZKT6,56,3072K,80K,up to 112,,10,,2,1,2,1,5,2,3,,,,,,,,,,,,,,,,,1,,2(16),,LQFP144,Cortex-M3
