Series,Part No.,Max Speed (MHz),Memory (Bytes),,I/O,Timer,,,,,,,Connectivity,,,,,,,,,,,,,,,,,,,EXMC,EXMC/SDRAM,Analog Interface,,Package,Core
,,,Flash,SRAM,,GPTM (32bit),GPTM (16bit),Adv TM (16bit),Bsc TM (16bit),SysTick (24bit),WDG,RTC,USART+UART,I2C,SPI,CAN 2.0B,USB 2.0,I2S,SDIO,Ether-net,TMU,SHR TM,COMP,OP-AMP,CEC,LCD-TFT,LCD,Camera,ETHMAC,Crypto/Hash,IPA,,,12bit ADC Units (CHs),12bit DAC Units,,
,GD32E230K6T6,72,32K,6K,up to 25,,4,1,1,1,2,1,2,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,LQFP32,Cortex-M23
,GD32E230K8T6,72,64K,8K,up to 25,,5,1,1,1,2,1,2,2,2,,,1,,,,,1,,,,,,,,,,,1(10),,LQFP32,Cortex-M23
,GD32E230C4T6,72,16K,4K,up to 39,,4,1,1,1,2,1,1,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,LQFP48,Cortex-M23
,GD32E230C6T6,72,32K,6K,up to 39,,4,1,1,1,2,1,2,1,1,,,1,,,,,1,,,,,,,,,,,1(10),,LQFP48,Cortex-M23
,GD32E230C8T6,72,64K,8K,up to 39,,5,1,1,1,2,1,2,2,2,,,1,,,,,1,,,,,,,,,,,1(10),,LQFP48,Cortex-M23
GD32E231,GD32E231C4T6,72,16K,4K,up to 39,,4,1,1,1,2,1,1,1,1,,,1,,,,,1,2,,,,,,,,,,1(10),,LQFP48,Cortex-M23
,GD32E231C6T6,72,32K,6K,up to 39,,4,1,1,1,2,1,2,1,1,,,1,,,,,1,2,,,,,,,,,,1(10),,LQFP48,Cortex-M23
,GD32E231C8T6,72,64K,8K,up to 39,,5,1,1,1,2,1,2,2,2,,,1,,,,,1,2,,,,,,,,,,1(10),,LQFP48,Cortex-M23
GD32E232,GD32E232E4U7,72,16K,4K,up to 23,1,4,1,2,1,2,1,2,2,1,,,1,,,,,,,,,,,,,,,,1(13),4,QFN24,Cortex-M23
,GD32E232E6U7,72,32K,6K,up to 23,1,4,1,2,1,2,1,2,2,1,,,1,,,,,,,,,,,,,,,,1(13),4,QFN24,Cortex-M23
